Test time;Standard force;Strain;Nominal strain;LE Channel
9.980469e-003;2.999170e+001;-4.669189e-007;-2.211417e-005;2.108024e+002
3.998047e-002;2.984183e+001;-4.669189e-007;-2.211417e-005;2.108024e+002
4.998047e-002;2.982605e+001;-4.669189e-007;-2.211417e-005;2.108024e+002
3.099805e-001;3.226344e+001;-4.669189e-007;1.693560e-003;2.108042e+002
3.199805e-001;3.414078e+001;2.995331e-004;3.884662e-003;2.108063e+002
3.299805e-001;3.660972e+001;8.995330e-004;7.005949e-003;2.108095e+002
3.399805e-001;3.957560e+001;1.199533e-003;1.074736e-002;2.108132e+002
3.499805e-001;4.309365e+001;1.799533e-003;1.496420e-002;2.108174e+002
3.599805e-001;4.674578e+001;2.399533e-003;1.953244e-002;2.108220e+002
3.699805e-001;5.060301e+001;2.999533e-003;2.432806e-002;2.108268e+002
3.799805e-001;5.456278e+001;3.299533e-003;2.916502e-002;2.108316e+002
3.899805e-001;5.840423e+001;4.199533e-003;3.402265e-002;2.108365e+002
3.999805e-001;6.228512e+001;4.799533e-003;3.885961e-002;2.108413e+002
4.099805e-001;6.632377e+001;5.699533e-003;4.369657e-002;2.108462e+002
4.199805e-001;7.018099e+001;6.299533e-003;4.865756e-002;2.108511e+002
4.299805e-001;7.406188e+001;6.899533e-003;5.374257e-002;2.108562e+002
4.399805e-001;7.802954e+001;7.799533e-003;5.874490e-002;2.108612e+002
4.499805e-001;8.163435e+001;8.399533e-003;6.362320e-002;2.108661e+002
4.599805e-001;8.533382e+001;9.599533e-003;6.850150e-002;2.108710e+002
4.699805e-001;8.896230e+001;1.019953e-002;7.352450e-002;2.108760e+002
4.799805e-001;9.245667e+001;1.109953e-002;7.854750e-002;2.108810e+002
4.899805e-001;9.590372e+001;1.169953e-002;8.352915e-002;2.108860e+002
4.999805e-001;9.963474e+001;1.259953e-002;8.855215e-002;2.108910e+002
5.099804e-001;1.032711e+002;1.349953e-002;9.359582e-002;2.108961e+002
5.199805e-001;1.070179e+002;1.439953e-002;9.851547e-002;2.109010e+002
5.299805e-001;1.106385e+002;1.529953e-002;1.034558e-001;2.109059e+002
5.399805e-001;1.142275e+002;1.619953e-002;1.085821e-001;2.109110e+002
5.499805e-001;1.175799e+002;1.709953e-002;1.138325e-001;2.109163e+002
5.599805e-001;1.209165e+002;1.769953e-002;1.188762e-001;2.109213e+002
5.699804e-001;1.242926e+002;1.859953e-002;1.237338e-001;2.109262e+002
5.799805e-001;1.276292e+002;1.949953e-002;1.287155e-001;2.109312e+002
5.899805e-001;1.308791e+002;2.039953e-002;1.338625e-001;2.109363e+002
5.999805e-001;1.339948e+002;2.129953e-002;1.389268e-001;2.109414e+002
6.099805e-001;1.369291e+002;2.219953e-002;1.438465e-001;2.109463e+002
6.199805e-001;1.396663e+002;2.309953e-002;1.487661e-001;2.109512e+002
6.299804e-001;1.426085e+002;2.399953e-002;1.537271e-001;2.109562e+002
6.399805e-001;1.455901e+002;2.489953e-002;1.586467e-001;2.109611e+002
6.499805e-001;1.486428e+002;2.579953e-002;1.635457e-001;2.109660e+002
6.599805e-001;1.514825e+002;2.669953e-002;1.685894e-001;2.109711e+002
6.699805e-001;1.544168e+002;2.759953e-002;1.736331e-001;2.109761e+002
6.799805e-001;1.570277e+002;2.849953e-002;1.784907e-001;2.109810e+002
6.899804e-001;1.596939e+002;2.939953e-002;1.833690e-001;2.109858e+002
6.999805e-001;1.625414e+002;2.999953e-002;1.884333e-001;2.109909e+002
7.099805e-001;1.654127e+002;3.119953e-002;1.935597e-001;2.109960e+002
7.199805e-001;1.681182e+002;3.209953e-002;1.986654e-001;2.110011e+002
7.299805e-001;1.709579e+002;3.299953e-002;2.037297e-001;2.110062e+002
7.399805e-001;1.736004e+002;3.389953e-002;2.086700e-001;2.110111e+002
7.499804e-001;1.760141e+002;3.479953e-002;2.135483e-001;2.110160e+002
7.599804e-001;1.785304e+002;3.569953e-002;2.185713e-001;2.110210e+002
7.699805e-001;1.810624e+002;3.659953e-002;2.236770e-001;2.110261e+002
7.799805e-001;1.835471e+002;3.779953e-002;2.287000e-001;2.110312e+002
7.899805e-001;1.863789e+002;3.839953e-002;2.335370e-001;2.110360e+002
7.999805e-001;1.891397e+002;3.929953e-002;2.384359e-001;2.110409e+002
8.099805e-001;1.918453e+002;4.049953e-002;2.435209e-001;2.110460e+002
8.199804e-001;1.943931e+002;4.139953e-002;2.485439e-001;2.110510e+002
8.299805e-001;1.968621e+002;4.229953e-002;2.534842e-001;2.110559e+002
8.399805e-001;1.989839e+002;4.319953e-002;2.585073e-001;2.110610e+002
8.499805e-001;2.012005e+002;4.409953e-002;2.635923e-001;2.110661e+002
8.599805e-001;2.035195e+002;4.529953e-002;2.685119e-001;2.110710e+002
8.699805e-001;2.059254e+002;4.619953e-002;2.734522e-001;2.110759e+002
8.799804e-001;2.084969e+002;4.709953e-002;2.786199e-001;2.110811e+002
8.899805e-001;2.110762e+002;4.799953e-002;2.838910e-001;2.110864e+002
8.999805e-001;2.134821e+002;4.889953e-002;2.888933e-001;2.110914e+002
9.099805e-001;2.157854e+002;4.979953e-002;2.937096e-001;2.110962e+002
9.199805e-001;2.181360e+002;5.069953e-002;2.986912e-001;2.111012e+002
9.299805e-001;2.203288e+002;5.159953e-002;3.038383e-001;2.111063e+002
9.399804e-001;2.226637e+002;5.279953e-002;3.088819e-001;2.111113e+002
9.499805e-001;2.249749e+002;5.369953e-002;3.137809e-001;2.111162e+002
9.599805e-001;2.275306e+002;5.459953e-002;3.187419e-001;2.111212e+002
9.699805e-001;2.298891e+002;5.549953e-002;3.237029e-001;2.111262e+002
9.799805e-001;2.322397e+002;5.639953e-002;3.286225e-001;2.111311e+002
9.899805e-001;2.344326e+002;5.729953e-002;3.335628e-001;2.111360e+002
9.999804e-001;2.366175e+002;5.849953e-002;3.386272e-001;2.111411e+002
1.009980e+000;2.385737e+002;5.939953e-002;3.436295e-001;2.111461e+002
1.019980e+000;2.406325e+002;6.029953e-002;3.485078e-001;2.111510e+002
1.029980e+000;2.426755e+002;6.119953e-002;3.533861e-001;2.111558e+002
1.039980e+000;2.448763e+002;6.209953e-002;3.584504e-001;2.111609e+002
1.049981e+000;2.471796e+002;6.299953e-002;3.635561e-001;2.111660e+002
1.059981e+000;2.493724e+002;6.389953e-002;3.686411e-001;2.111711e+002
1.069981e+000;2.516047e+002;6.509953e-002;3.736848e-001;2.111761e+002
1.079980e+000;2.538607e+002;6.569953e-002;3.786251e-001;2.111811e+002
1.089980e+000;2.559352e+002;6.689953e-002;3.835241e-001;2.111860e+002
1.099980e+000;2.578914e+002;6.749953e-002;3.885678e-001;2.111910e+002
1.109980e+000;2.598950e+002;6.869953e-002;3.937355e-001;2.111962e+002
1.119980e+000;2.619853e+002;6.959953e-002;3.987378e-001;2.112012e+002
1.129980e+000;2.640125e+002;7.049953e-002;4.035541e-001;2.112060e+002
1.139980e+000;2.662212e+002;7.139953e-002;4.084737e-001;2.112109e+002
