Step counter;Test time;Standard force;Strain;Nominal strain;LE Channel
0.000000e+000;1.000732e-002;3.172771e+001;-9.923706e-005;1.927165e-005;2.131523e+002
0.000000e+000;4.000732e-002;3.187758e+001;-9.923706e-005;1.927165e-005;2.131523e+002
0.000000e+000;5.000732e-002;3.177504e+001;-4.992370e-004;1.927165e-005;2.131523e+002
1.000000e+000;2.900073e-001;3.386523e+001;1.007630e-004;1.404213e-003;2.131537e+002
1.000000e+000;3.000073e-001;3.546638e+001;7.007629e-004;3.367937e-003;2.131557e+002
1.000000e+000;3.100073e-001;3.762756e+001;1.600763e-003;6.303187e-003;2.131586e+002
1.000000e+000;3.200073e-001;4.041184e+001;2.500763e-003;1.002393e-002;2.131623e+002
1.000000e+000;3.300073e-001;4.376403e+001;3.700763e-003;1.415808e-002;2.131665e+002
1.000000e+000;3.400073e-001;4.738439e+001;5.200763e-003;1.870565e-002;2.131710e+002
1.000000e+000;3.500073e-001;5.113095e+001;6.400763e-003;2.337725e-002;2.131757e+002
1.000000e+000;3.600073e-001;5.523244e+001;8.200763e-003;2.806951e-002;2.131804e+002
1.000000e+000;3.700073e-001;5.933394e+001;9.700763e-003;3.272044e-002;2.131850e+002
1.000000e+000;3.800073e-001;6.346698e+001;1.120076e-002;3.759874e-002;2.131899e+002
1.000000e+000;3.900073e-001;6.763158e+001;1.300076e-002;4.262174e-002;2.131949e+002
1.000000e+000;4.000073e-001;7.172519e+001;1.480076e-002;4.768608e-002;2.132000e+002
1.000000e+000;4.100073e-001;7.581091e+001;1.660076e-002;5.268840e-002;2.132050e+002
1.000000e+000;4.200073e-001;7.982565e+001;1.840076e-002;5.767006e-002;2.132100e+002
1.000000e+000;4.300073e-001;8.387193e+001;2.020076e-002;6.254836e-002;2.132149e+002
1.000000e+000;4.400073e-001;8.779990e+001;2.200076e-002;6.748868e-002;2.132198e+002
1.000000e+000;4.500073e-001;9.198816e+001;2.380076e-002;7.257368e-002;2.132249e+002
1.000000e+000;4.600073e-001;9.580570e+001;2.560076e-002;7.772071e-002;2.132300e+002
1.000000e+000;4.700073e-001;9.952071e+001;2.740076e-002;8.264036e-002;2.132350e+002
1.000000e+000;4.800073e-001;1.034329e+002;2.920076e-002;8.743598e-002;2.132398e+002
1.000000e+000;4.900073e-001;1.073767e+002;3.130076e-002;9.243830e-002;2.132448e+002
1.000000e+000;5.000073e-001;1.110286e+002;3.310076e-002;9.752331e-002;2.132498e+002
1.000000e+000;5.100073e-001;1.148146e+002;3.490076e-002;1.025256e-001;2.132548e+002
1.000000e+000;5.200073e-001;1.185453e+002;3.700076e-002;1.074453e-001;2.132598e+002
1.000000e+000;5.300073e-001;1.220395e+002;3.880076e-002;1.125303e-001;2.132648e+002
