Test time;Standard force;Strain;Nominal strain;LE Channel
1.005859e-002;1.423964e+001;-9.946594e-005;1.573612e-005;2.090192e+002
4.005859e-002;1.429486e+001;-1.994659e-004;1.573612e-005;2.090192e+002
5.005860e-002;1.438163e+001;-1.994659e-004;1.573612e-005;2.090192e+002
3.100586e-001;1.524930e+001;4.005341e-004;1.002039e-002;2.090292e+002
3.500586e-001;1.659814e+001;2.200534e-003;2.804531e-002;2.090472e+002
3.800586e-001;1.781289e+001;3.400534e-003;4.290759e-002;2.090621e+002
4.200586e-001;1.896453e+001;5.500534e-003;6.279287e-002;2.090820e+002
4.500586e-001;2.014773e+001;7.000534e-003;7.757248e-002;2.090968e+002
4.800586e-001;2.114950e+001;8.500534e-003;9.253812e-002;2.091117e+002
5.100586e-001;2.218282e+001;9.700534e-003;1.072971e-001;2.091265e+002
5.400586e-001;2.318460e+001;1.150053e-002;1.226141e-001;2.091418e+002
5.800586e-001;2.434413e+001;1.330053e-002;1.425821e-001;2.091618e+002
6.100586e-001;2.547211e+001;1.480053e-002;1.574237e-001;2.091766e+002
6.400586e-001;2.656853e+001;1.660053e-002;1.724927e-001;2.091917e+002
6.800586e-001;2.789371e+001;1.840053e-002;1.923986e-001;2.092116e+002
7.100586e-001;2.918734e+001;2.020053e-002;2.078810e-001;2.092271e+002
7.500586e-001;3.033898e+001;2.200053e-002;2.278490e-001;2.092470e+002
7.900586e-001;3.166416e+001;2.440053e-002;2.475689e-001;2.092668e+002
8.200586e-001;3.276847e+001;2.590053e-002;2.625552e-001;2.092818e+002
8.500586e-001;3.394378e+001;2.740053e-002;2.773142e-001;2.092965e+002
8.800586e-001;3.504810e+001;2.920053e-002;2.926105e-001;2.093118e+002
9.300586e-001;3.613663e+001;3.160053e-002;3.176428e-001;2.093368e+002
9.600586e-001;3.727250e+001;3.340054e-002;3.324431e-001;2.093516e+002
1.020059e+000;3.837682e+001;3.640053e-002;3.624571e-001;2.093817e+002
1.070059e+000;3.954424e+001;3.910054e-002;3.876341e-001;2.094068e+002
1.120059e+000;4.066433e+001;4.180053e-002;4.126250e-001;2.094318e+002
1.170059e+000;4.180808e+001;4.450053e-002;4.374506e-001;2.094566e+002
1.220059e+000;4.303860e+001;4.720053e-002;4.626070e-001;2.094818e+002
1.260059e+000;4.419025e+001;4.930053e-002;4.826163e-001;2.095018e+002
1.310059e+000;4.531823e+001;5.200053e-002;5.075039e-001;2.095267e+002
1.370059e+000;4.632788e+001;5.530053e-002;5.375178e-001;2.095567e+002
1.420059e+000;4.742431e+001;5.770053e-002;5.627982e-001;2.095820e+002
1.460059e+000;4.844975e+001;6.010053e-002;5.826215e-001;2.096018e+002
1.510059e+000;4.953040e+001;6.250054e-002;6.073851e-001;2.096266e+002
1.570059e+000;5.068204e+001;6.580053e-002;6.375851e-001;2.096568e+002
1.640059e+000;5.199145e+001;6.940053e-002;6.724774e-001;2.096917e+002
1.710059e+000;5.326141e+001;7.330053e-002;7.075763e-001;2.097268e+002
1.740059e+000;5.443671e+001;7.480054e-002;7.226453e-001;2.097418e+002
