Step counter;Test time;Standard force;Strain;Nominal strain;LE Channel
0.000000e+000;1.000977e-002;1.342709e+001;1.892090e-007;-2.490995e-005;2.140159e+002
0.000000e+000;4.000977e-002;1.341920e+001;1.892090e-007;-2.490995e-005;2.140159e+002
0.000000e+000;5.000976e-002;1.337187e+001;1.892090e-007;-2.490995e-005;2.140159e+002
1.000000e+000;3.400098e-001;1.437359e+001;9.001892e-004;6.879129e-003;2.140228e+002
1.000000e+000;3.700098e-001;1.538319e+001;3.000189e-003;1.942629e-002;2.140353e+002
1.000000e+000;4.100098e-001;1.651900e+001;6.900189e-003;3.893950e-002;2.140548e+002
1.000000e+000;4.500098e-001;1.774945e+001;1.080019e-002;5.876277e-002;2.140747e+002
1.000000e+000;4.800098e-001;1.878272e+001;1.380019e-002;7.341835e-002;2.140893e+002
1.000000e+000;5.200098e-001;2.021036e+001;1.770019e-002;9.351034e-002;2.141094e+002
1.000000e+000;5.500098e-001;2.125941e+001;2.070019e-002;1.084553e-001;2.141244e+002
1.000000e+000;5.800098e-001;2.265550e+001;2.400019e-002;1.238137e-001;2.141397e+002
1.000000e+000;6.200098e-001;2.381497e+001;2.790019e-002;1.438850e-001;2.141598e+002
1.000000e+000;6.600097e-001;2.517162e+001;3.210019e-002;1.636256e-001;2.141795e+002
1.000000e+000;6.900098e-001;2.624433e+001;3.510019e-002;1.786119e-001;2.141945e+002
1.000000e+000;7.300098e-001;2.756943e+001;3.900019e-002;1.985799e-001;2.142145e+002
1.000000e+000;7.600098e-001;2.861059e+001;4.200019e-002;2.136075e-001;2.142295e+002
1.000000e+000;7.900097e-001;2.966751e+001;4.530019e-002;2.287179e-001;2.142446e+002
1.000000e+000;8.200098e-001;3.072445e+001;4.830019e-002;2.434768e-001;2.142594e+002
1.000000e+000;8.500097e-001;3.203378e+001;5.130019e-002;2.584631e-001;2.142744e+002
1.000000e+000;8.900098e-001;3.324057e+001;5.550019e-002;2.784517e-001;2.142944e+002
